time_s	box_x_m	box_y_m	box_z_m	box_error_m	box_progress_m	box_lateral_error_m	box_tilt_deg	ee_contact_error_m	contact_engaged	base_x_m	base_y_m	base_z_m	roll_deg	pitch_deg	clearance_m	leg_action_delta_l2	arm_action_delta_l2	update_ms
13.48	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.313910104	0	0.940812421	0.630136385	0.350295728	14.5249623	-5.99888161	0.228908273	0.0920562995	0.021875538	27.95925
13.49	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.313164463	0	0.940577769	0.629412347	0.349394831	14.4904713	-5.70792936	0.228732994	0.0829604066	0.0425023514	25.562506
13.5	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.309823445	0	0.940480219	0.628591412	0.348386948	14.4339224	-5.35220234	0.229050934	0.136952634	0.0284748416	29.632497
13.51	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.307396941	0	0.940495916	0.627532213	0.34739291	14.3622514	-5.04255593	0.228798429	0.0653261935	0.0486173781	25.176036
13.52	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.306884339	0	0.94053435	0.626352753	0.346301482	14.3471638	-4.77946921	0.228466999	0.0826451471	0.0419417942	28.934581
13.53	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.307603469	0	0.940467428	0.625695516	0.34664681	14.2275798	-4.90205383	0.228142121	0.0943302284	0.0207019027	27.710247
13.54	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.307642885	0	0.940119505	0.625094766	0.3472239	14.0669832	-4.97865948	0.228674207	0.100357848	0.0384607019	27.211594
13.55	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.309671685	0	0.939743688	0.624390262	0.347609532	14.0572525	-5.11003712	0.229545895	0.0385650591	0.0286771787	25.669878
13.56	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.313844503	0	0.939330966	0.623860995	0.348440503	14.1210701	-5.18664365	0.230274249	0.141329466	0.0137772211	28.842804
13.57	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.316881319	0	0.939042675	0.623363529	0.349482768	14.2105428	-5.30490807	0.231087018	0.092512177	0.0532266595	27.907466
13.58	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.317820635	0	0.938857046	0.622851323	0.350743298	14.2297348	-5.45516791	0.23156269	0.0991826379	0.0364686639	27.325875
13.59	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.316222529	0	0.938720965	0.622315627	0.352166147	14.1693427	-5.62212253	0.232069358	0.0689820105	0.027423603	28.815026
13.6	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.315611214	0	0.938636709	0.621685936	0.353434605	14.1084876	-5.81535752	0.231671268	0.129028962	0.049789495	26.798501
13.61	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.316918297	0	0.938563237	0.621052043	0.354476037	14.0108154	-5.97506528	0.231021198	0.0957322076	0.0436454553	27.239408
13.62	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.319550154	0	0.938474231	0.620887256	0.355520988	14.0610579	-6.1204598	0.23094583	0.0711034283	0.0212216059	27.296891
13.63	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.320552104	0	0.938473082	0.620828982	0.356349191	14.1276917	-6.26321011	0.23132561	0.105328906	0.0492140901	26.07229
13.64	1.90483701	0.615317203	0.189999563	1.76542585	1.07491135	0.204721419	0	0.319511037	0	0.938545007	0.621117609	0.356965251	14.1224866	-6.4277322	0.231625702	0.100314364	0.0312367649	27.840135
